,Hours_Exercised,age,probability
0,4.942730077373691,69,45.38764549901943
1,7.61890815598673,73,37.59669416987812
2,5.202786170602817,61,43.79726180160262
3,4.700312488523114,84,53.74841667719616
4,4.002621849859092,82,52.03304250663177
5,4.023490296882371,82,53.927800286666994
6,4.774967264260378,61,43.589462185244955
7,5.31142496617375,52,39.1563147244793
8,6.4661897853087025,50,34.71579876277328
9,6.928810257489353,82,43.203816406354264
10,4.06014781585595,59,45.936048617205785
11,6.257219417029375,78,44.10594774909497
12,4.355807439044445,62,46.171873020837616
13,5.437678954081066,61,42.06918923749144
14,5.232942914632189,80,48.61563462631058
15,7.638838410949255,51,30.968153422920786
16,3.166157005989796,84,56.171526250264314
17,2.625756731721723,72,55.392969684316235
18,5.775575987761261,66,43.13907402678835
19,7.057837317146429,75,40.437365340332875
20,6.589648592031914,57,37.25245681092711
21,3.0337592407050544,78,56.00335755311563
22,7.0303739624409936,75,39.83339803906745
23,3.877670421221602,59,47.014814844470806
24,2.8755179257604633,75,54.13571887862067
25,3.4857854754771775,83,55.97608514706619
26,7.322687974792574,56,33.724139324121246
27,4.684315778766174,53,40.16530740728372
28,5.517538269709948,60,39.916335099045
29,7.343025729999219,78,41.51040261066389
30,7.529212243424794,74,39.84624332276214
31,6.120630256788443,70,41.90966655317258
32,6.4083707436671125,59,39.01180607904261
33,5.98038391111995,58,37.7612514221472
34,4.865296582777721,73,47.72497113646398
35,6.358771127897981,84,45.320916190964
36,7.751178526048014,84,41.42439260884419
37,6.037047390209888,67,42.16884702264477
38,5.814307772785646,81,46.45380176180198
39,4.309949270892554,73,49.183606788914
40,5.148308780322423,72,47.571704712182694
41,2.9722261505516907,81,55.83198444871144
42,4.192032724469653,61,46.94118739376224
43,2.9836526259529537,62,49.162604742292935
44,1.9662789499800617,72,57.27771153797908
45,2.955439980243606,74,55.664160683878364
46,6.347765249747574,84,44.09550670068047
47,5.334836274415019,79,47.41162866640147
48,3.183299123048424,66,51.51051493342559
49,4.530060106836323,69,47.38076227208077
50,5.743066541331653,74,45.673332941110026
51,3.4703932390555243,71,51.0107564483065
52,5.968660451363414,62,40.82687634310998
53,6.477571160250619,68,40.87609505180595
54,6.5071369768322285,61,39.86494373579667
55,4.252023257758922,68,48.40794641847267
56,5.73487119081378,61,41.50601485147109
57,5.603563583868828,58,40.21671956549728
58,3.946484820022721,56,44.8036423518548
59,3.482378838790313,77,53.06382952805137
60,5.723175347326409,63,42.24029103093379
61,3.401061053705576,80,54.295620147321884
62,6.982362566458194,68,39.7062146442302
63,6.017631775985865,65,43.61897911549067
64,6.650137246003707,54,36.87068551621982
65,3.106989955367111,84,56.6116086106574
66,5.9438359751545855,61,41.70093880166927
67,4.889515200233388,74,47.6254759862316
68,3.3070833500217125,70,49.779208744752665
69,3.3787538550236524,72,51.219901353006904
70,2.7347494261947363,65,50.17800991515099
71,6.71209087967766,63,38.329795700990175
72,5.862474151424178,80,46.858501094632174
73,5.849039417632207,54,40.239511175852215
74,5.242404468900724,84,50.431233073281845
75,7.683437133722262,72,38.233900643279895
76,7.822483856750642,78,40.757457239581434
77,4.875481980221811,60,41.38732235428232
78,7.288278481527883,67,38.35312341721934
79,4.155625077271768,61,46.99286494661731
80,6.539440404227619,58,36.15520446069177
81,7.559787455717288,59,35.832434184911605
82,2.9360412042596167,66,52.06316455386364
83,3.5222297796997872,56,46.23357679105988
84,3.1967768398712137,62,50.243095978518404
85,4.1017318179336115,58,47.705151040416844
86,4.6218246273578485,76,49.71202744751337
87,6.288873145201163,51,36.44382652165661
88,6.676713557878736,54,35.4551557152478
89,2.4592259981928026,78,56.24063243631825
90,3.8435708175362824,68,50.290909200428146
91,4.440819878474725,57,43.17329256297201
92,2.9960136793416914,50,46.48432246332598
93,5.739972069445013,71,43.87443193101084
94,7.038684153823809,66,39.07519053351021
95,3.569357899335868,56,46.83171682741217
96,3.7615620386348287,74,52.68054142062645
97,5.2694550218423295,53,39.5877275312498
98,4.4813769228367715,55,42.989718911628955
99,2.9048306609581958,80,55.32577816915146
